Row,Fav,MasterGridDataID,ObjLabel,TypeName,IsClosed,FilingDate,NumString,Applicant,Location,Descr,Status,StatusDate,ModifiedDate,IsDeleted,TotalFees,UnpaidFees,CanPayFees,PublicDocCount,IsLockedInt,IsLockedExt,CouncilDistrict,Zoning,Value,IsPublic,LU_JurisdictionID,X,Y,XWGS84,YWGS84,HouseNum,HouseNumInt,StreetName,City,St,Zip,Parcel,Guid,UserFavID,UserID,FavType,FavID,IsActive,IsDeleted1,ContactID,CanEdit,CanView,CanRenew,NeedAccept,Origin,Division,Next Compliance Date,Last Compliance Date,Open Violations,Total Violations,Next Hearing Date,Last Hearing Date
1401,False,226513,Code Incident,"Junk, Trash and Debris",True,"6/14/2021 2:04:59 PM",2106C-0016-JNK,Anonymous,571 Viewmont Ct,Junk and trash on property.,Violations Remedied,"7/13/2021 12:30:00 AM","11/4/2021 11:32:01 AM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11382650.0800000,6849396.2600000,-78.8501480,38.4562475,571,571,Viewmont Ct,Harrisonburg,VA,22802,032 A 45,1d31988c-92d1-41c7-aba0-3dd6dc065c4b,,,,,,,,False,True,,False,Citizen,P&Z,,"6/28/2021 12:00:00 AM",1,1,,
1402,False,222245,Code Incident,Inoperable Vehicle,True,"4/5/2021 4:37:17 PM",2104C-0002-INOP,Anonymous,791 Vine St,Vehicles do not have license plates.,Violations Remedied,"4/19/2021 5:30:00 PM","11/4/2021 4:26:52 PM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11382604.1700000,6847453.5900000,-78.8502825,38.4509126,791,791,Vine St,Harrisonburg,VA,22802,032 J 54,e5cfeda4-d554-4567-ac51-fa410751f6df,,,,,,,,False,True,,False,CE Officer,P&Z,,"4/15/2021 4:43:07 PM",0,1,,
1403,False,228312,Code Incident,"Use: Other",True,"10/5/2021 10:52:30 AM",2110C-0007-USE,Anonymous,764 Woodland Dr,Tree trimming business being operated without a home occupation permit.,Violations Remedied,"10/5/2021 10:45:00 AM","11/4/2021 4:37:51 PM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11380312.5400000,6836986.3200000,-78.8581420,38.4221458,764,764,Woodland Dr,Harrisonburg,VA,22801,084 K  5,a8a11bff-3747-41f5-ab50-e861669f347a,,,,,,,,False,True,,False,Citizen,P&Z,,,0,0,,
1404,False,228773,Code Incident,Working Without a Permit,False,"11/8/2021 10:49:56 AM",2111C-0006-NP,,1645 Reservoir St Ste 155,"Different tradesman is coming in to get permits for work and are surprised to find the building permit has NOT been issued. They indicate they are starting or getting ready to start, building permit has not been issued still waiting for plan review comments to be addressed.",Verbal Notice,"11/8/2021 4:48:13 PM","11/8/2021 5:01:29 PM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11381441.9900000,6840113.3600000,-78.8542417,38.4307445,1645,1645,Reservoir St,Harrisonburg,VA,22801,079 E 11,1d30c6e3-c115-4303-af2a-294d058372fa,,,,,,,,False,True,,False,Citizen,BLD,,"12/8/2021 12:00:00 AM",1,1,,
1405,False,228669,Code Incident,"Junk, Trash and Debris",True,"10/27/2021 8:24:52 AM",2110C-0022-JNK,Anonymous,229 Chicago Ave,Junk and trash,Violations Remedied,"11/11/2021 12:00:00 AM","11/10/2021 3:50:34 PM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11375792.4900000,6848131.0500000,-78.8740776,38.4526990,229,229,Chicago Ave,Harrisonburg,VA,22802,035 M  2,389c1c01-8813-4368-9a52-c96246c8ce99,,,,,,,,False,True,,False,Citizen,P&Z,,"11/10/2021 12:00:00 AM",1,1,,
1406,False,228801,Code Incident,Signage,False,"11/12/2021 8:12:54 AM",2111C-0009-SIGN,Anonymous,2434 Campus View Cir,"Freestanding signs blocking sight distance. The property has three freestanding signs, but it is only allowed to have one. ",,"11/12/2021 8:12:54 AM","11/12/2021 10:04:24 AM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11382047.9900000,6834407.3300000,-78.8520499,38.4150824,2434,2434,Campus View Cir,Harrisonburg,VA,22801,081 E  7,d04fb48c-35e5-4842-ba0d-f13312e337c7,,,,,,,,False,True,,False,Citizen,P&Z,,,0,0,,
1407,False,222558,Code Incident,"Junk, Trash and Debris",True,"5/13/2021 2:14:37 PM",2105C-0005-JNK,Anonymous,337 Old South High St,Accumulation of junk and trash on property.,Violations Remedied,"6/11/2021 12:30:00 AM","11/12/2021 10:05:18 AM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11375173.3400000,6845370.5000000,-78.8762002,38.4451118,337,337,Old South High St,Harrisonburg,VA,22801,025 G  3,e308cf69-a34f-410e-977d-6f86e3de8d72,,,,,,,,False,True,,False,CE Officer,P&Z,,"5/27/2021 12:00:00 AM",1,1,,
1408,False,226305,Code Incident,"Junk, Trash and Debris",True,"5/25/2021 1:27:06 PM",2105C-0028-JNK,Anonymous,343 Old South High St,Junk and trash in alley next to the property.,Violations Remedied,"6/9/2021 12:30:00 AM","11/12/2021 10:06:09 AM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11375149.4100000,6845328.3700000,-78.8762831,38.4449958,343,343,Old South High St,Harrisonburg,VA,22801,025 G  2,aaac04cb-0478-4fc7-82e6-71cf9d82f5bc,,,,,,,,False,True,,False,CE Officer,P&Z,,"6/8/2021 12:00:00 AM",1,1,,
1409,False,222329,Code Incident,"Junk, Trash and Debris",True,"4/14/2021 2:03:31 PM",2104C-0010-JNK,Anonymous,1040 Star Cir,Junk in the back yard. ,Violations Remedied,"5/13/2021 12:30:00 AM","11/12/2021 2:11:37 PM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11371410.3200000,6830077.8000000,-78.8891128,38.4030759,1040,1040,Star Cir,Harrisonburg,VA,22801,097 G 21,d3be4afe-1410-4490-b2df-6fc27e5921b8,,,,,,,,False,True,,False,CE Officer,P&Z,,"4/28/2021 12:00:00 AM",1,1,,
1410,False,228789,Code Incident,Working Without a Permit,False,"11/9/2021 1:31:33 PM",2111C-0008-NP,,922 S High St,Person issuing the complaint (wishes to remain anonymous) says there has been a building erected behind the existing building on the lot. Is associated with a pallet business.,,"11/9/2021 1:31:33 PM","11/12/2021 4:14:55 PM",False,0.00,0.00,False,0,False,True,,,0.00,True,1,11372475.1100000,6843353.2600000,-78.8855917,38.4395418,922,922,S High St,Harrisonburg,VA,22801,019 D  6,55e0c4b5-861e-429c-af53-9ba44022f8c8,,,,,,,,False,True,,False,Citizen,BLD,,,0,0,,
